編號,產業,關聯欄位,子分類,原始文字,公司名稱,股票代號,星等,是否為供應鏈敘述,group_id,股票代號_單一,yfinance_ticker
1,AI ASIC,台灣核心股,大型ASIC,世芯-KY 3661 ★★★★★,世芯-KY,3661,5,False,1,3661,3661.TW
1,AI ASIC,台灣核心股,,創意3443 ★★★★★,創意,3443,5,False,2,3443,3443.TW
1,AI ASIC,台灣核心股,,智原3035 ★★★★,智原,3035,4,False,3,3035,3035.TW
1,AI ASIC,台灣核心股,中小型ASIC,巨有科技8227 ★★★★,巨有科技,8227,4,False,4,8227,8227.TW
1,AI ASIC,台灣核心股,,益芯科7707 ★★★,益芯科,7707,3,False,5,7707,7707.TW
1,AI ASIC,台灣核心股,,擷發科7796 ★★★,擷發科,7796,3,False,6,7796,7796.TW
1,AI ASIC,台灣核心股,IC設計&ASIC,聯發科2454 ★★★★★,聯發科,2454,5,False,7,2454,2454.TW
1,AI ASIC,台灣核心股,,瑞昱2379 ★★★★,瑞昱,2379,4,False,8,2379,2379.TW
1,AI ASIC,台灣核心股,,聯詠3034 ★★★★,聯詠,3034,4,False,9,3034,3034.TW
1,AI ASIC,台灣核心股,投入ASIC,安國8054 ★★★,安國,8054,3,False,10,8054,8054.TW
1,AI ASIC,台灣核心股,,芯鼎6695 ★★★,芯鼎,6695,3,False,11,6695,6695.TW
1,AI ASIC,台灣核心股,,威盛2388 ★★★,威盛,2388,3,False,12,2388,2388.TW
1,AI ASIC,台灣核心股,,矽統2363 ★★★,矽統,2363,3,False,13,2363,2363.TW
1,AI ASIC,台灣核心股,,揚智3041 ★★★,揚智,3041,3,False,14,3041,3041.TW
1,AI ASIC,全球上游_供應,,SNPS★★★★,,SNPS,4,False,15,SNPS,SNPS
1,AI ASIC,全球上游_供應,,CDNS★★★★,,CDNS,4,False,16,CDNS,CDNS
1,AI ASIC,全球上游_供應,,ARM★★★★,,ARM,4,False,17,ARM,ARM
1,AI ASIC,全球上游_供應,,力旺3529★★★★,力旺,3529,4,False,18,3529,3529.TW
1,AI ASIC,全球上游_供應,,M31 6643★★★★,M31,6643,4,False,19,6643,6643.TW
1,AI ASIC,全球競爭_同業,,AVGO★★★★★,,AVGO,5,False,20,AVGO,AVGO
1,AI ASIC,全球競爭_同業,,MRVL★★★★★,,MRVL,5,False,21,MRVL,MRVL
1,AI ASIC,全球合作_需求端,Google TPU,Google TPU：GOOGL→AVGO→創意/聯發科,,GOOGL,0,True,22,GOOGL,GOOGL
1,AI ASIC,全球合作_需求端,Google TPU,Google TPU：GOOGL→AVGO→創意/聯發科,,AVGO,0,True,23,AVGO,AVGO
